138;[135, 140[;[130, 140[;[120, 140[;[100, 140[;[100, 180[;[20, 180[;[20, 280[;*
140;[140, 145[;[140, 150[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
143;[140, 145[;[140, 150[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
144;[140, 145[;[140, 150[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
146;[145, 150[;[140, 150[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
147;[145, 150[;[140, 150[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
148;[145, 150[;[140, 150[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
149;[145, 150[;[140, 150[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
150;[150, 155[;[150, 160[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
151;[150, 155[;[150, 160[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
152;[150, 155[;[150, 160[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
153;[150, 155[;[150, 160[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
154;[150, 155[;[150, 160[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
155;[155, 160[;[150, 160[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
156;[155, 160[;[150, 160[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
157;[155, 160[;[150, 160[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
158;[155, 160[;[150, 160[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
159;[155, 160[;[150, 160[;[140, 160[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
160;[160, 165[;[160, 170[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
161;[160, 165[;[160, 170[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
162;[160, 165[;[160, 170[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
163;[160, 165[;[160, 170[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
164;[160, 165[;[160, 170[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
165;[165, 170[;[160, 170[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
166;[165, 170[;[160, 170[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
167;[165, 170[;[160, 170[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
168;[165, 170[;[160, 170[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
169;[165, 170[;[160, 170[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
170;[170, 175[;[170, 180[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
171;[170, 175[;[170, 180[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
172;[170, 175[;[170, 180[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
173;[170, 175[;[170, 180[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
174;[170, 175[;[170, 180[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
175;[175, 180[;[170, 180[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
176;[175, 180[;[170, 180[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
177;[175, 180[;[170, 180[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
178;[175, 180[;[170, 180[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
179;[175, 180[;[170, 180[;[160, 180[;[140, 180[;[100, 180[;[20, 180[;[20, 280[;*
180;[180, 185[;[180, 190[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
181;[180, 185[;[180, 190[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
182;[180, 185[;[180, 190[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
183;[180, 185[;[180, 190[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
184;[180, 185[;[180, 190[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
185;[185, 190[;[180, 190[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
186;[185, 190[;[180, 190[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
187;[185, 190[;[180, 190[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
188;[185, 190[;[180, 190[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
189;[185, 190[;[180, 190[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
190;[190, 195[;[190, 200[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
191;[190, 195[;[190, 200[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
192;[190, 195[;[190, 200[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
193;[190, 195[;[190, 200[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
194;[190, 195[;[190, 200[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
195;[195, 200[;[190, 200[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
196;[195, 200[;[190, 200[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
197;[195, 200[;[190, 200[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
198;[195, 200[;[190, 200[;[180, 200[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
204;[200, 205[;[200, 210[;[200, 220[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
205;[205, 210[;[200, 210[;[200, 220[;[180, 220[;[180, 260[;[180, 280[;[20, 280[;*
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;*
